Temperature,TDS,TURBIDITY,pH,Target
29.10690934,250.0640837,453.1093808,6.14158425,BAD
29.97546195,299.9592334,490.024309,7.978299829,BAD
29.95250843,299.9329977,490.0734635,8.103935893,BAD
29.2274347,250.0062329,452.9328632,5.93008312,BAD
29.03225565,16.03962345,455.0276512,7.003565191,GOOD
29.19551535,15.9274492,454.9715391,6.960467405,GOOD
28.94732583,250.0668367,452.8442782,6.139334281,BAD
28.88793132,16.06105069,454.9394279,7.108566502,GOOD
29.95917357,299.919793,490.0561371,8.046140112,BAD
29.98812739,17.31019624,426.4355403,7.94381615,GOOD
29.16322506,15.99135076,455.0533977,6.907951035,GOOD
30.03648117,17.21908094,426.625753,8.16170993,GOOD
29.97322179,299.8739569,489.9072283,7.998642219,BAD
28.98374479,249.8438981,453.0693617,5.924992403,BAD
28.84166886,249.9099591,453.1401061,6.020120807,BAD
30.03946569,17.6987329,426.7759197,8.041977235,GOOD
29.0176485,15.84666661,455.1222842,6.892480224,GOOD
29.88883863,17.40735225,426.6542774,7.889317964,GOOD
30.03095977,17.42378488,426.7428168,8.016775698,GOOD
29.12848595,249.775219,453.0403751,5.932363766,BAD
29.95923384,299.9499865,489.9243771,8.103862,BAD
30.08985305,17.35173714,426.5952781,8.008879941,GOOD
28.93129636,15.95430306,454.9536816,6.864812292,GOOD
29.03071767,250.0485901,453.0465243,6.060674368,BAD
29.12481395,16.08614478,454.9735729,7.020199682,GOOD
29.86074698,17.39313129,426.6858949,8.187621686,GOOD
29.79379391,17.3151053,426.6158459,8.074123138,GOOD
30.02795691,299.8043129,490.1334719,7.841528364,BAD
29.04066016,249.9642416,453.0241392,5.866268375,BAD
30.07971476,300.0511877,489.8853628,8.265453777,BAD
29.08217593,15.87493556,455.0085646,7.090030845,GOOD
30.05883887,300.0571718,489.8611315,8.135136494,BAD
29.09145873,16.0619351,454.89062,7.224932378,GOOD
29.04563422,16.09280488,455.0024063,7.205758613,GOOD
30.1248889,17.33941112,426.626522,8.079049145,GOOD
29.12171531,250.0408525,453.0610611,5.965998,BAD
